service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
605_1_1,0,0,0,0,0,0,0,20220206,20220312
604_2_1,0,0,0,0,0,0,0,20220206,20220312
3092_1,0,0,0,0,0,0,0,20220206,20220312
3291_1,0,0,0,0,0,0,0,20220206,20220312
709_1,0,0,0,0,0,0,0,20220206,20220312
200_1_1,0,0,0,0,0,0,0,20220206,20220312
420_1,0,0,0,0,0,0,0,20220206,20220312
101_3_1,0,0,0,0,0,0,0,20220206,20220312
6_3_1,0,0,0,0,0,0,0,20220206,20220312
115_4_1,0,0,0,0,0,0,0,20220206,20220312
37_3_1,0,0,0,0,0,0,0,20220206,20220312
206_2_1,0,0,0,0,0,0,0,20220206,20220312
3021_1,0,0,0,0,0,0,0,20220206,20220312
3012_1,0,0,0,0,0,0,0,20220206,20220312
3051_1,0,0,0,0,0,0,0,20220206,20220312
7_1,0,0,0,0,0,0,0,20220206,20220312
111_2_1,0,0,0,0,0,0,0,20220206,20220312
305_2_1,0,0,0,0,0,0,0,20220206,20220312
85_1,0,0,0,0,0,0,0,20220206,20220312
3_3_1,0,0,0,0,0,0,0,20220206,20220312
308_3_1,0,0,0,0,0,0,0,20220206,20220312
5_2_1,0,0,0,0,0,0,0,20220206,20220312
39_3_1,0,0,0,0,0,0,0,20220206,20220312
408_1,0,0,0,0,0,0,0,20220206,20220312
MTuWThF-Sch_1,0,0,0,0,0,0,0,20220206,20220312
3203_1,0,0,0,0,0,0,0,20220206,20220312
WHF Su+Hol_1,0,0,0,0,0,0,0,20220206,20220312
75_1,0,0,0,0,0,0,0,20220206,20220312
113_2_1,0,0,0,0,0,0,0,20220206,20220312
713_1,0,0,0,0,0,0,0,20220206,20220312
105_2_1,0,0,0,0,0,0,0,20220206,20220312
147_1,0,0,0,0,0,0,0,20220206,20220312
432_1,0,0,0,0,0,0,0,20220206,20220312
3141_1,0,0,0,0,0,0,0,20220206,20220312
418_1_1,0,0,0,0,0,0,0,20220206,20220312
44_1_1,0,0,0,0,0,0,0,20220206,20220312
42_3_1,0,0,0,0,0,0,0,20220206,20220312
205_1_1,0,0,0,0,0,0,0,20220206,20220312
104_3_1,0,0,0,0,0,0,0,20220206,20220312
