route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed,etm_id
4,Rail 1 MTuWTuF-XHol BRT Xmas,WRL__1__1605__RAIL__Rail_1_MTuWTuF-XHol_BRT_Xmas,,1,,[@356.0.69433816@]WRL:839#24616#24626,,2,1605
2200,304_4,220__1__742__TZM__304__4__304__4,,1,,[@356.0.45924825@]5,,2,742
280,240,28__0__113__NBM__240__240,,0,,[@364.0.23227051@]1,,2,113
560,3331,56__1__102__MNM__3331__3331,,1,,[@360.0.6959393@]56:357#11972#12006,,2,102
70,103_5,7__1__400__TZM__103__5__103__5,,1,,[@364.0.17528115@]1,,2,400
5,Rail SaSu+Hol,HVL__0__3828__RAIL__Rail_SaSu+Hol,BH=Buses replacing this service are ongoing. Go to the buses replacing train stop.,0,,[@6.0.20608367@]HVL:793#24218#24233,,2,3828
7,8082,AX__0__903__MNM__8082__8082,,0,,[@366.0.7673003@]1,,2,903
830,201_2,83__1__402__NBM__201__2__201__2,,1,,[@364.0.23226528@]83:378#12562#12628,,2,402
30,37,3__1__796__NBM__37__37,,1,,[@360.0.6959122@]1,,2,796
7,6102,AX__1__218__MNM__6102__6102,,1,,[@366.0.7673003@]2,,2,218
20,24,2__0__735__NBM__24__24,,0,,[@364.0.23226994@]5,,2,735
1200,601_5,120__1__114__TZM__601__5__601__5,,1,,[@364.0.17527449@]2,,2,114
9,CCL MTuWThF-XHol,CCL__0__10547__WCCL__CCL_MTuWThF-XHol,,0,,[@6.0.98043685@]CCL:859#24732#24734,,2,10547
830,201_2,83__1__418__NBM__201__2__201__2,,1,,[@364.0.23226528@]83:378#12562#12628,,2,418
7,6092,AX__0__219__MNM__6092__6092,,0,,[@366.0.7673003@]1,,2,219
1500,401_4,150__1__720__TZM__401__4__401__4,,1,,[@6.0.21845698@]2,,2,720
1540,404_4,154__0__417__TZM__404__4__404__4,,0,,[@360.0.75331279@]1,,2,417
2620,1106,262__1__714__UZM__1106__1106,,1,,[@366.0.28965575@]2,,2,714
70,218_2,7__0__427__TZM__218__2__218__2,,0,,[@364.0.17528115@]2,,2,427
7,6072,AX__0__197__MNM__6072__6072,,0,,[@366.0.7673003@]1,,2,197
2,Rail MTuWThF-XHol,KPL__0__6230__RAIL__Rail_MTuWThF-XHol,,0,,[@6.0.20608271@]KPL:820#24487#24499,,2,6230
7,8071,AX__1__850__MNM__8071__8071,,1,,[@366.0.7673003@]2,,2,850
20,37_1,2__0__527__NBM__37__1__37__1,,0,,[@364.0.23226994@]5,,2,527
140,21_2,14__1__408__NBM__21__2__21__2,,1,,[@364.0.23225636@]5,,2,408
70,108_4,7__1__468__TZM__108__4__108__4,,1,,[@364.0.17528115@]1,,2,468
1600,604_4,160__0__423__TZM__604__4__604__4,,0,,[@356.0.42935312@]5,,2,423
290,112_7,29__1__418__TZM__112__7__112__7,,1,,[@364.0.17529751@]1,,2,418
1140,506_5,114__1__102__TZM__506__5__506__5,,1,,[@356.0.42935130@]114:450#14408#14428,,2,102
70,218_2,7__1__438__TZM__218__2__218__2,,1,,[@364.0.17528115@]1,,2,438
1120,527_2,112__0__107__TZM__527__2__527__2,,0,,[@6.0.22024228@]2,,2,107
270,211_6,27__1__414__TZM__211__6__211__6,,1,,[@360.0.75333692@]1,,2,414
2600,28_4,260__0__147__UZM__28__4__28__4,,0,,[@366.0.28965553@]2,,2,147
1140,507_3,114__0__421__TZM__507__3__507__3,,0,,[@356.0.42935130@]2,,2,421
120,201_1,12__0__459__NBM__201__1__201__1,,0,,[@364.0.23227021@]2,,2,459
180,18_2,18__1__416__NBM__18__2__18__2,,1,,[@364.0.23225663@]1,,2,416
2200,309_6,220__0__432__TZM__309__6__309__6,,0,,[@356.0.45924825@]1,,2,432
1100,526_2,110__0__209__TZM__526__2__526__2,,0,,[@356.0.42935074@]3,,2,209
1700,603_5,170__0__417__TZM__603__5__603__5,,0,,[@356.0.42935339@]170:564#18381#18436,,2,417
2300,304_8,230__0__407__TZM__304__8__304__8,,0,,[@356.0.45924869@]230:660#21265#21288,,2,407
1100,402_7,110__0__455__TZM__402__7__402__7,,0,,[@356.0.42935074@]4,,2,455
6,Rail XmasWeek 5-6Jan,JVL__1__9343__RAIL__Rail_XmasWeek_5-6Jan,,1,,[@6.0.20608239@]JVL:801#24315#24322,,2,9343
